"114年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"114","1","1,160.00","1,055.00","1,105.45","919,543","726,797,248,009","657,463,196","2.53",
"114","2","1,125.00","1,040.00","1,080.46","1,468,127","875,610,658,322","810,404,696","3.12",
"114","3","1,030.00","910.00","981.73","2,900,880","906,393,421,551","923,259,084","3.56",
"114","4","952.00","780.00","857.35","2,768,815","811,308,828,037","946,297,147","3.64",
"114","5","1,000.00","911.00","963.02","1,178,011","675,896,918,110","701,849,120","2.70",
"114","6","1,080.00","946.00","1,032.18","1,147,085","781,815,077,570","757,437,563","2.92",
"114","7","1,165.00","1,065.00","1,118.81","948,463","859,346,352,786","768,082,941","2.96",
"114","8","1,200.00","1,125.00","1,165.46","1,064,428","780,211,195,578","669,441,860","2.58",
"114","9","1,355.00","1,145.00","1,255.99","1,066,189","848,522,727,420","675,579,256","2.60",
"114","10","1,525.00","1,325.00","1,447.04","1,643,831","1,084,583,996,963","749,514,770","2.89",
"114","11","1,525.00","1,375.00","1,439.50","2,147,444","1,065,407,460,016","740,120,698","2.85",
"114","12","1,550.00","1,410.00","1,465.93","1,367,411","880,294,126,428","600,500,270","2.31",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

